"_________-_(1981__) _ __, __, ____ _ __",,,,,,
,6.GDP,,,,,
2007Q4,"3,463,039",6.16,"3,517,013",6.51,98.47,-0.32
2008Q1,"3,176,424",4.42,"3,187,360",7.55,99.66,-2.9
2008Q2,"3,173,185",3.32,"3,306,002",5.66,95.98,-2.22
2008Q3,"3,115,109",-6.58,"3,325,198",-1.23,93.68,-5.42
2008Q4,"3,155,432",-8.88,"3,252,121",-7.53,97.03,-1.46
2009Q1,"2,997,919",-5.62,"2,928,593",-8.12,102.37,2.72
2009Q2,"2,986,363",-5.89,"3,088,340",-6.58,96.7,0.75
2009Q3,"3,146,568",1.01,"3,278,312",-1.41,95.98,2.46
2009Q4,"3,350,243",6.17,"3,538,804",8.82,94.67,-2.43
2010Q1,"3,299,585",10.06,"3,312,610",13.11,99.61,-2.7
2010Q2,"3,324,540",11.32,"3,486,318",12.89,95.36,-1.39
2010Q3,"3,467,135",10.19,"3,657,592",11.57,94.79,-1.24
2010Q4,"3,460,839",3.3,"3,758,549",6.21,92.08,-2.74
2011Q1,"3,424,243",3.78,"3,565,236",7.63,96.05,-3.57
2011Q2,"3,316,418",-0.24,"3,652,193",4.76,90.81,-4.77
2011Q3,"3,484,026",0.49,"3,790,360",3.63,91.92,-3.03
2011Q4,"3,484,387",0.68,"3,802,953",1.18,91.62,-0.5
2012Q1,"3,435,917",0.34,"3,584,074",0.53,95.87,-0.19
2012Q2,"3,377,460",1.84,"3,655,020",0.08,92.41,1.76
2012Q3,"3,592,626",3.12,"3,841,412",1.35,93.52,1.74
2012Q4,"3,671,096",5.36,"3,949,353",3.85,92.95,1.45
2013Q1,"3,531,731",2.79,"3,635,637",1.44,97.14,1.32
2013Q2,"3,540,563",4.83,"3,753,251",2.69,94.33,2.08
2013Q3,"3,679,037",2.41,"3,891,779",1.31,94.53,1.08
2013Q4,"3,812,911",3.86,"4,065,702",2.95,93.78,0.89
___,,,,,,
,,,,,,
more,,,,,,
______,,,,,,
2013Q3_____2013_Q4_______,,,,,,
,,,,,,
,,,,,,
,,,,,,
______2014-02-18,,,,,,
,,,,,,
_____ _______,,,,,,
,,,,,,
_________,,,,,,
,,,,,,
_______ more_,,,,,,
,,,,,,
_____,,,,,,
NA0102,,,,,,
